repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
10,0.6076923076923076,0.6137864795939155,0.7505451464432498,0.5478505671359362,0.7505451464432498,"[np.float64(0.7307692307692308), np.float64(0.75), np.float64(0.7692307692307692), np.float64(0.7309523809523809), np.float64(0.7300724637681159), np.float64(0.7250936329588014), np.float64(0.8031914893617021), np.float64(0.7444444444444445), np.float64(0.7414772727272727), np.float64(0.7802197802197802)]"
20,0.5990384615384615,0.6080712767804896,0.7469065190086169,0.5364926007445052,0.7469065190086169,"[np.float64(0.7307692307692308), np.float64(0.75), np.float64(0.7692307692307692), np.float64(0.7309523809523809), np.float64(0.7300724637681159), np.float64(0.7250936329588014), np.float64(0.8031914893617021), np.float64(0.7444444444444445), np.float64(0.7414772727272727), np.float64(0.7802197802197802), np.float64(0.7666666666666666), np.float64(0.6812966150315548), np.float64(0.765625), np.float64(0.7747252747252747), np.float64(0.7747252747252747), np.float64(0.7752808988764045), np.float64(0.7172312223858616), np.float64(0.7588014981273408), np.float64(0.6318681318681318), np.float64(0.7864583333333334)]"
20,0.7980769230769231,0.7189439230523667,0.7607530938199604,0.683341713238058,0.7607530938199604,"[np.float64(0.7692307692307693), np.float64(0.7926136363636364), np.float64(0.7637362637362637), np.float64(0.7087301587301588), np.float64(0.7789855072463767), np.float64(0.752808988764045), np.float64(0.7819148936170213), np.float64(0.7603174603174603), np.float64(0.7556818181818182), np.float64(0.7802197802197802), np.float64(0.9063492063492065), np.float64(0.6990820424555364), np.float64(0.78125), np.float64(0.6153846153846154), np.float64(0.8846153846153848), np.float64(0.7385767790262172), np.float64(0.8313696612665685), np.float64(0.8052434456928839), np.float64(0.631868131868132), np.float64(0.6770833333333333)]"
