repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
10,0.6238410596026489,0.6055886366982189,0.740166751019274,0.5519425725621049,0.740166751019274,"[np.float64(0.7692147034252297), np.float64(0.7350464576074331), np.float64(0.7053435114503817), np.float64(0.7254578754578755), np.float64(0.7209645669291338), np.float64(0.7695094760312152), np.float64(0.7541703248463565), np.float64(0.6977671451355661), np.float64(0.7263993316624896), np.float64(0.7977941176470589)]"
20,0.6354304635761588,0.6089908352914876,0.7490856176415355,0.5603209721879575,0.7490856176415355,"[np.float64(0.7692147034252297), np.float64(0.7350464576074331), np.float64(0.7053435114503817), np.float64(0.7254578754578755), np.float64(0.7209645669291338), np.float64(0.7695094760312152), np.float64(0.7541703248463565), np.float64(0.6977671451355661), np.float64(0.7263993316624896), np.float64(0.7977941176470589), np.float64(0.7947761194029851), np.float64(0.7983796296296296), np.float64(0.7286259541984732), np.float64(0.7610294117647058), np.float64(0.6848132487667371), np.float64(0.7472826086956521), np.float64(0.7489557226399332), np.float64(0.764271653543307), np.float64(0.7789363920750783), np.float64(0.7729741019214703)]"
20,0.6354304635761588,0.6089908352914876,0.7490856176415355,0.5603209721879575,0.7490856176415355,"[np.float64(0.7692147034252297), np.float64(0.7350464576074331), np.float64(0.7053435114503817), np.float64(0.7254578754578755), np.float64(0.7209645669291338), np.float64(0.7695094760312152), np.float64(0.7541703248463565), np.float64(0.6977671451355661), np.float64(0.7263993316624896), np.float64(0.7977941176470589), np.float64(0.7947761194029851), np.float64(0.7983796296296296), np.float64(0.7286259541984732), np.float64(0.7610294117647058), np.float64(0.6848132487667371), np.float64(0.7472826086956521), np.float64(0.7489557226399332), np.float64(0.764271653543307), np.float64(0.7789363920750783), np.float64(0.7729741019214703)]"
